,Mstage [-],u_top [cm]
0,0,0
1,0.1,0.099075477
2,0.2,0.200562436
3,0.25,0.254213517
4,0.35,0.362137075
5,0.4,0.425362307
6,0.45,0.494092414
7,0.5,0.572630063
8,0.55,0.66354317
9,0.6,0.770200422
10,0.625,0.831443574
11,0.65,0.89803436
12,0.675,0.971416745
13,0.7,1.050404408
14,0.725,1.135648391
15,0.75,1.232074982
16,0.7625,1.289104421
17,0.7875,1.416365729
18,0.8,1.498219204
19,0.8125,1.591014834
20,0.81875,1.650252083
21,0.825,1.721330938
22,0.828125,1.765836887
23,0.834375,1.870356048
24,0.8375,1.940284816
25,0.840625,2.021144005
26,0.84375,2.118016261
27,0.846875,2.231969264
28,0.85,2.360199973
29,0.8515625,2.433410927
30,0.853125,2.510779819
31,0.8546875,2.593693043
32,0.85625,2.680390355
33,0.8578125,2.769283905
34,0.859375,2.859662195
35,0.8609375,2.950339417
36,0.8625,3.039704647
37,0.8640625,3.126922496
38,0.865625,3.212040918
39,0.8671875,3.295630792
40,0.86875,3.378390542
41,0.8703125,3.460755898
42,0.871875,3.543002951
43,0.8734375,3.625287997
44,0.875,3.707995022
45,0.8765625,3.791513818
46,0.878125,3.876496315
47,0.8796875,3.964571777
48,0.88125,4.057577101
49,0.88203125,4.108301381
50,0.88359375,4.219515993
51,0.884375,4.288508242
52,0.884765625,4.332035444
53,0.884960938,4.361502
54,0.88515625,4.403287388
55,0.885253906,4.436750019
56,0.885351563,4.48398701
57,0.885400391,4.51630164
58,0.885498047,4.593522444
59,0.885595703,4.678867356
60,0.885644531,4.72468652
61,0.885742188,4.818632517
62,0.885791016,4.864620443
63,0.885888672,4.954025088
64,0.8859375,4.996221565
65,0.886035156,5.07664825
66,0.886083984,5.113339853
67,0.886132813,5.147722489
68,0.886181641,5.178681042
69,0.886230469,5.204204123
70,0.886254883,5.212665996
71,0.886303711,5.223223955
72,0.886352539,5.229191017
73,0.886401367,5.233687619
74,0.886450195,5.237111552
75,0.886499023,5.239689016
76,0.88659668,5.243725767
77,0.886694336,5.247112494
78,0.886889648,5.253377467
79,0.887084961,5.259416551
80,0.887280273,5.26533519
81,0.887475586,5.271227745
82,0.887866211,5.283325235
83,0.888256836,5.296037336
84,0.888647461,5.309861454
85,0.889038086,5.324896468
86,0.889428711,5.341947985
87,0.889819336,5.36245841
88,0.890209961,5.387449294
